@relation release6

@attribute LOC numeric
@attribute Age numeric
@attribute CHG numeric
@attribute MAX_CHG numeric
@attribute AVG_CHG numeric
@attribute 'Bug Fixed' numeric
@attribute NAuth numeric
@attribute 'Number of Commit' numeric
@attribute 'LOC Added' numeric
@attribute 'AVG_LOC Added' numeric
@attribute 'MAX_LOC Added' numeric
@attribute Buggy {false,true}

@data
0,542,207,171,63,0,0,0,0,7120,290.8078,false
302,542,207,207,52,0,3,27,604,7120,290.8078,false
0,542,207,207,138,0,0,0,0,7120,290.8078,false
0,542,207,207,155,0,0,0,0,7120,290.8078,false
0,542,207,207,165,0,0,0,0,7120,290.8078,false
0,542,207,207,172,0,0,0,0,7120,290.8078,false
0,542,207,207,177,0,0,0,0,7120,290.8078,false
0,542,207,207,181,0,0,0,0,7120,290.8078,false
0,542,207,207,184,0,0,0,0,7120,290.8078,false
0,542,207,207,186,0,0,0,0,7120,290.8078,false
0,542,207,207,188,0,0,0,0,7120,290.8078,false
0,542,207,207,189,0,0,0,0,7120,290.8078,false
0,542,207,207,191,0,0,0,0,7120,290.8078,false
0,542,207,207,192,0,0,0,0,7120,290.8078,false
0,542,207,207,193,0,0,0,0,7120,290.8078,false
0,542,207,207,194,0,0,0,0,7120,290.8078,false
0,542,207,207,194,0,0,0,0,7120,290.8078,false
0,542,207,207,195,0,0,0,0,7120,290.8078,false
0,542,207,207,196,0,0,0,0,7120,290.8078,false
0,542,207,207,196,0,0,0,0,7120,290.8078,false
0,542,207,207,197,0,0,0,0,7120,290.8078,false
0,542,207,207,197,0,0,0,0,7120,290.8078,false
0,542,207,207,198,0,0,0,0,7120,290.8078,false
0,542,207,207,198,0,0,0,0,7120,290.8078,false
0,542,207,207,198,0,0,0,0,7120,290.8078,false
0,542,207,207,199,0,0,0,0,7120,290.8078,false
0,542,207,207,199,0,0,0,0,7120,290.8078,false
0,542,207,207,199,0,0,0,0,7120,290.8078,false
0,542,207,207,199,0,0,0,0,7120,290.8078,false
0,542,207,207,200,0,0,0,0,7120,290.8078,false
0,542,207,207,200,0,0,0,0,7120,290.8078,false
0,542,207,207,200,0,0,0,0,7120,290.8078,false
0,542,207,207,200,0,0,0,0,7120,290.8078,false
0,542,207,207,200,0,0,0,0,7120,290.8078,false
0,542,207,207,201,0,0,0,0,7120,290.8078,false
0,542,207,207,201,0,0,0,0,7120,290.8078,false
0,542,207,207,201,0,0,0,0,7120,290.8078,false
0,542,207,207,201,0,0,0,0,7120,290.8078,false
0,542,207,207,201,0,0,0,0,7120,290.8078,false
0,542,207,207,201,0,0,0,0,7120,290.8078,false
0,542,207,207,201,0,0,0,0,7120,290.8078,false
0,542,207,207,202,0,0,0,0,7120,290.8078,false
0,542,207,207,202,0,0,0,0,7120,290.8078,false
0,542,207,207,202,0,0,0,0,7120,290.8078,false
0,542,207,207,202,0,0,0,0,7120,290.8078,false
