@relation release2

@attribute LOC numeric
@attribute Age numeric
@attribute CHG numeric
@attribute MAX_CHG numeric
@attribute AVG_CHG numeric
@attribute 'Bug Fixed' numeric
@attribute NAuth numeric
@attribute 'Number of Commit' numeric
@attribute 'LOC Added' numeric
@attribute 'AVG_LOC Added' numeric
@attribute 'MAX_LOC Added' numeric
@attribute Buggy {false}

@data
0,359,10,2,1,0,0,0,0,38,0.197772,false
0,359,10,191,42,0,0,0,0,38,0.197772,false
0,359,10,191,52,0,0,0,0,38,0.197772,false
0,359,10,191,44,0,0,0,0,38,0.197772,false
0,359,10,191,27,0,0,0,0,38,0.197772,false
0,359,10,191,32,0,0,0,0,38,0.197772,false
0,359,10,125,21,0,0,0,0,38,0.197772,false
0,359,10,191,29,0,0,0,0,38,0.197772,false
0,359,10,191,22,0,0,0,0,38,0.197772,false
0,359,10,191,23,0,0,0,0,38,0.197772,false
0,359,3,125,13,0,0,0,0,38,0.197772,false
0,359,3,191,10,0,0,0,0,38,0.197772,false
0,359,1,191,14,0,0,0,0,38,0.197772,false
0,359,1,191,12,0,0,0,0,38,0.197772,false
0,359,1,1,0,0,0,0,0,38,0.197772,false
0,359,1,125,6,0,0,0,0,38,0.197772,false
0,359,11,191,20,0,0,0,0,38,0.197772,false
0,359,11,191,18,0,0,0,0,38,0.197772,false
0,359,11,191,16,0,0,0,0,38,0.197772,false
0,359,11,125,16,0,0,0,0,38,0.197772,false
0,359,11,191,16,0,0,0,0,38,0.197772,false
33,359,11,191,17,0,15,179,33,38,0.197772,false
0,359,11,191,15,0,0,0,0,38,0.197772,false
0,359,11,125,13,0,0,0,0,38,0.197772,false
0,359,6,22,6,0,0,0,0,38,0.197772,false
0,359,6,191,11,0,0,0,0,38,0.197772,false
0,359,2,191,6,0,0,0,0,38,0.197772,false
0,359,2,191,7,0,0,0,0,38,0.197772,false
0,359,4,125,7,0,0,0,0,38,0.197772,false
0,359,4,125,8,0,0,0,0,38,0.197772,false
0,359,4,191,9,0,0,0,0,38,0.197772,false
0,359,4,125,7,0,0,0,0,38,0.197772,false
0,359,3,191,8,0,0,0,0,38,0.197772,false
0,359,3,191,8,0,0,0,0,38,0.197772,false
0,359,8,125,10,0,0,0,0,38,0.197772,false
0,359,8,191,11,0,0,0,0,38,0.197772,false
0,359,8,191,11,0,0,0,0,38,0.197772,false
0,359,8,191,12,0,0,0,0,38,0.197772,false
0,359,13,191,14,0,0,0,0,38,0.197772,false
0,359,13,191,17,0,0,0,0,38,0.197772,false
0,359,13,191,16,0,0,0,0,38,0.197772,false
0,359,2,2,1,0,0,0,0,38,0.197772,false
0,359,3,3,2,0,0,0,0,38,0.197772,false
0,359,1,11,1,0,0,0,0,38,0.197772,false
0,359,7,125,9,0,0,0,0,38,0.197772,false
0,359,6,6,5,0,0,0,0,38,0.197772,false
0,359,6,6,5,0,0,0,0,38,0.197772,false
0,359,2,191,5,0,0,0,0,38,0.197772,false
0,355,22,22,20,0,0,0,0,38,0.197772,false
0,355,22,22,21,0,0,0,0,38,0.197772,false
0,355,22,22,21,0,0,0,0,38,0.197772,false
0,355,22,22,21,0,0,0,0,38,0.197772,false
0,355,22,191,24,0,0,0,0,38,0.197772,false
0,355,22,22,20,0,0,0,0,38,0.197772,false
0,355,22,22,21,0,0,0,0,38,0.197772,false
0,355,22,22,20,0,0,0,0,38,0.197772,false
0,355,22,22,21,0,0,0,0,38,0.197772,false
0,355,22,22,20,0,0,0,0,38,0.197772,false
0,355,22,22,20,0,0,0,0,38,0.197772,false
0,355,22,125,22,0,0,0,0,38,0.197772,false
0,355,22,379,30,0,0,0,0,38,0.197772,false
0,355,22,191,24,0,0,0,0,38,0.197772,false
0,355,22,191,23,0,0,0,0,38,0.197772,false
0,355,22,191,24,0,0,0,0,38,0.197772,false
0,355,22,191,24,0,0,0,0,38,0.197772,false
0,355,22,191,24,0,0,0,0,38,0.197772,false
0,355,22,191,23,0,0,0,0,38,0.197772,false
0,355,2,191,4,0,0,0,0,38,0.197772,false
0,355,14,191,15,0,0,0,0,38,0.197772,false
0,355,14,191,16,0,0,0,0,38,0.197772,false
0,355,14,191,16,0,0,0,0,38,0.197772,false
0,355,14,191,16,0,0,0,0,38,0.197772,false
0,355,14,14,13,0,0,0,0,38,0.197772,false
0,355,14,191,15,0,0,0,0,38,0.197772,false
0,355,14,191,15,0,0,0,0,38,0.197772,false
0,355,2,7,2,0,0,0,0,38,0.197772,false
0,355,2,2,1,0,0,0,0,38,0.197772,false
0,355,1,17,1,0,0,0,0,38,0.197772,false
0,355,125,125,123,0,0,0,0,38,0.197772,false
0,355,125,125,122,0,0,0,0,38,0.197772,false
0,355,125,125,116,0,0,0,0,38,0.197772,false
0,355,125,125,122,0,0,0,0,38,0.197772,false
0,355,125,125,122,0,0,0,0,38,0.197772,false
0,355,125,125,122,0,0,0,0,38,0.197772,false
0,355,125,125,122,0,0,0,0,38,0.197772,false
0,355,125,125,122,0,0,0,0,38,0.197772,false
0,355,125,125,122,0,0,0,0,38,0.197772,false
0,355,125,125,122,0,0,0,0,38,0.197772,false
0,355,125,125,122,0,0,0,0,38,0.197772,false
0,355,125,125,122,0,0,0,0,38,0.197772,false
0,355,125,125,122,0,0,0,0,38,0.197772,false
0,355,125,125,122,0,0,0,0,38,0.197772,false
0,355,125,125,122,0,0,0,0,38,0.197772,false
0,355,125,125,122,0,0,0,0,38,0.197772,false
0,355,125,125,122,0,0,0,0,38,0.197772,false
0,355,125,125,122,0,0,0,0,38,0.197772,false
0,355,125,125,122,0,0,0,0,38,0.197772,false
